市町村名,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48981,1735,53190,1662,54411,2108,557
大阪市,福島区,35935,791,39545,899,41034,912,386
大阪市,此花区,31444,1054,32736,1063,32959,1278,375
大阪市,西区,45397,2451,51150,2577,56387,3321,770
大阪市,港区,38059,1683,39600,1596,41577,2104,462
大阪市,大正区,31153,912,32085,787,32589,1019,295
大阪市,天王寺区,34096,2210,39394,2621,36980,2641,785
大阪市,浪速区,30563,4581,29055,5060,41790,6830,985
大阪市,西淀川区,46064,2221,47169,2077,46729,2601,574
大阪市,東淀川区,81570,3706,83347,3763,93516,5122,933
大阪市,東成区,36563,3533,39909,3972,41271,4478,1001
大阪市,生野区,48161,13412,51113,14766,52522,16351,2885
大阪市,旭区,42104,1133,45878,1191,46521,1415,403
大阪市,城東区,78988,2707,86353,2850,83239,3318,956
大阪市,阿倍野区,49668,1691,57751,1703,52643,2127,579
大阪市,住吉区,69641,2190,78942,2345,77036,2638,814
大阪市,東住吉区,60721,1823,66805,1909,65775,2133,735
大阪市,西成区,56502,5025,39716,4744,64301,6962,952
大阪市,淀川区,85186,3630,86254,3836,97819,4854,1137
大阪市,鶴見区,53015,984,57956,1055,50025,940,548
大阪市,住之江区,56674,1950,60815,2182,60372,2368,756
大阪市,平野区,89449,4446,98069,4393,93138,4816,1441
大阪市,北区,60278,2801,64170,3054,75889,3538,980
大阪市,中央区,43842,3943,49507,5140,58659,5922,1341
堺市,堺区,69608,2544,72193,2656,73535,3300,795
堺市,中区,58999,833,62313,775,54360,942,365
堺市,東区,40741,459,44715,378,38829,477,195
堺市,西区,65568,1085,70502,878,61966,1156,408
堺市,南区,64974,1566,74355,1364,63612,1245,513
堺市,北区,74912,1013,82730,1118,73605,1127,525
堺市,美原区,18237,539,19457,275,16232,594,114
岸和田市,,91698,1516,99760,1188,85841,1764,413
豊中市,,191404,3041,210904,3115,188173,3429,1287
池田市,,48569,1098,52957,989,46988,1252,345
吹田市,,176228,2773,191557,2999,169050,3407,1104
泉大津市,,34947,650,38266,742,33388,790,298
高槻市,,166465,1630,181674,1734,158287,1759,824
貝塚市,,41084,586,44097,509,36987,722,189
守口市,,68619,1269,72566,1430,70508,1450,618
枚方市,,190237,2345,206178,2314,177545,2516,1001
茨木市,,134886,1770,143831,1875,123731,2142,746
八尾市,,123558,3995,134918,3878,120139,4084,1238
泉佐野市,,47246,986,51011,1177,45577,1470,280
富田林市,,51763,824,57799,647,50175,959,248
寝屋川市,,110551,1579,118056,1514,107663,1696,733
河内長野市,,49007,351,54918,286,46940,329,200
松原市,,56666,931,61157,823,55291,973,395
大東市,,57288,1525,60102,1370,54745,1678,455
和泉市,,88696,1373,94746,1264,77587,1571,514
箕面市,,64712,1418,70685,1562,58928,1995,455
柏原市,,32354,764,35082,674,30438,938,196
羽曳野市,,52244,559,57668,571,49346,677,267
門真市,,58263,1646,60069,1597,60321,1767,526
摂津市,,42246,880,42792,675,40129,986,278
高石市,,27364,273,29897,271,25381,276,141
藤井寺市,,30321,411,33410,367,28683,467,179
東大阪市,,228560,9445,241219,9394,227138,10769,2805
泉南市,,29451,419,31390,355,25623,455,176
四條畷市,,26968,308,28122,328,23996,349,170
交野市,,37207,276,39874,275,32357,261,159
大阪狭山市,,27563,222,30716,245,25393,268,118
阪南市,,25552,204,27946,178,23869,179,117
三島郡,島本町,14928,92,16495,127,13410,89,88
豊能郡,豊能町,9192,44,10047,56,8548,34,51
豊能郡,能勢町,4738,53,5046,48,4460,67,26
泉北郡,忠岡町,7996,277,8568,269,7391,363,68
泉南郡,熊取町,21042,183,22323,123,17887,187,83
泉南郡,田尻町,4225,83,4284,78,3958,112,31
泉南郡,岬町,7239,130,8123,142,7375,218,39
南河内郡,太子町,6471,69,6728,37,5399,74,25
南河内郡,河南町,7484,100,7869,58,6463,114,23
南河内郡,千早赤阪村,2447,9,2697,11,2277,6,9
